#{"t_start": 1606835205.7834709, "env_id": "wmac-graph-v1"}
r,l,t
-1710.0,7,8.82757
-1860.0,8,8.842544
-1782.0,9,8.857465
-2190.0,11,8.874858
-1800.0,7,8.884946
-2250.0,9,8.900986
-2106.0,9,8.916444
-2130.0,10,8.936557
-2250.0,8,8.948329
-2190.0,10,8.96588
-1980.0,9,8.981054
-1770.0,7,8.995857
-2250.0,9,9.008821
-2010.0,11,9.031657
-2350.0,11,9.049147
-2220.0,9,9.065614
-2070.0,7,9.07595
-1980.0,9,9.092004
-1920.0,7,9.102536
-2040.0,7,9.120399
-1630.0,8,9.132694
-1830.0,9,9.150182
-1890.0,8,9.1668
-1860.0,7,9.178285
-1770.0,7,9.190225
-2040.0,9,9.206587
-2100.0,7,9.220736
-1680.0,9,9.234888
-1680,6,9.248531
-1920.0,8,9.259786
-2280.0,10,9.276725
-1740.0,8,9.291502
-1800.0,8,9.302757
-1710.0,8,9.317017
-2310.0,11,9.335806
-1770.0,7,9.35035
-2130.0,9,9.363935
-1370.0,9,9.381348
-1740.0,7,9.395551
-1740.0,7,9.406928
-1890.0,8,9.421775
-1950.0,8,9.433208
-1680.0,7,9.447699
-2100.0,9,9.459922
-2166.0,9,9.476258
-1710.0,8,9.493596
-1740.0,7,9.504853
-1710.0,8,9.520418
-1710.0,8,9.532612
-2280.0,10,9.54925
-2400.0,11,9.571682
-2280.0,10,9.589217
-1770.0,7,9.599978
-2070.0,10,9.619406
-1590.0,6,9.629584
-1800.0,8,9.646574
-2100.0,8,9.658004
-2520.0,11,9.680904
-1860.0,8,9.693382
-1630.0,8,9.708734
-1920.0,8,9.720972
-2424.0,11,9.742521
-2250.0,12,9.764784
-1710.0,7,9.776329
-1680,7,9.790877
-1800.0,7,9.801548
-1920.0,8,9.818483
-2460.0,11,9.836236
-1836.0,9,9.852185
-1530,6,9.862506
-2080,8,9.877667
-2046.0,11,9.896068
-1900.0,9,9.91151
-1800.0,8,9.923101
-2010.0,8,9.939406
-2130.0,11,9.957242
-1800.0,7,9.967404
-1650.0,6,9.98026
-2370.0,9,9.991714
-2146.0,10,10.007586
-1710.0,7,10.021292
-1710.0,7,10.032164
-1770.0,7,10.045732
-2046.0,10,10.062233
-1740.0,7,10.072504
-1770.0,8,10.087186
-1950.0,10,10.103305
-1980.0,10,10.12062
-1920.0,9,10.132278
-1890.0,8,10.146722
-1710.0,6,10.156024
-1800.0,9,10.172617
-1710.0,8,10.189721
-1830.0,7,10.201087
-2040.0,9,10.217346
-2280.0,9,10.233254
-1860.0,8,10.244921
-2190.0,10,10.262309
-2040.0,8,10.277678
-2160.0,9,10.293332
-1890.0,8,10.30461
-2010.0,9,10.320059
-1680.0,8,10.335094
-1860,7,10.345429
-1860.0,9,10.360939
-1956.0,9,10.376923
-2454.0,12,10.394858
-2340.0,9,10.410522
-1860.0,8,10.422881
-1740.0,7,10.436791
-2490.0,12,10.456782
-1710.0,7,10.472193
-1950.0,8,10.485359
-2250.0,10,10.501935
-2220.0,10,10.518303
-1800.0,8,10.534019
-1710.0,7,10.544585
-1680.0,8,10.560429
-2370.0,11,10.578401
-1710.0,7,10.588441
-2250.0,9,10.604191
-1740.0,7,10.617804
-1870.0,9,10.630195
-1740.0,7,10.644206
-1890.0,7,10.654601
-2640.0,13,10.680165
-1710,7,10.690706
-1716.0,7,10.704798
-1780.0,8,10.716386
-1680.0,7,10.730871
-1890.0,8,10.742715
-1816.0,9,10.759593
-1650.0,6,10.770546
-2010.0,10,10.787564
-2370.0,12,10.811216
-1866.0,8,10.822508
-2070.0,11,10.840511
-1680.0,6,10.854648
-2310.0,9,10.866641
-2220.0,10,10.88364
-1770.0,7,10.897712
-1650.0,7,10.907929
-1710.0,7,10.923433
-1860.0,7,10.934916
-2070.0,10,10.951972
-2190.0,8,10.967001
-2400.0,10,10.983862
-1830,6,10.994803
-1896.0,11,11.011951
-2304.0,9,11.028207
-1860.0,8,11.039653
-1650.0,6,11.054139
-1680.0,7,11.064728
-1980.0,8,11.081806
-1920.0,8,11.094264
-2010.0,9,11.109989
-2160.0,9,11.126341
-2190.0,10,11.14361
-2130.0,11,11.160812
-1830.0,7,11.171524
-2130.0,10,11.188198
-1860.0,9,11.204062
-2070.0,8,11.222003
-2556.0,11,11.240009
-1710.0,9,11.25677
-1860.0,9,11.272348
-2010.0,10,11.289351
-2220.0,8,11.300794
-1570.0,8,11.319022
-2370.0,11,11.337231
-1740.0,7,11.348045
-2190.0,9,11.365653
-2040.0,8,11.381305
-2250.0,8,11.392992
-1650.0,7,11.407155
-2040.0,9,11.423966
-1800.0,9,11.436871
-1950.0,9,11.453009
-1830.0,8,11.468357
-1650.0,7,11.479775
-1830.0,7,11.494161
-1986.0,10,11.512262
-2250.0,10,11.529272
-1870.0,8,11.540453
-2250.0,10,11.557517
-1800.0,8,11.572541
-1830.0,7,11.582747
-1920.0,9,11.599236
-1770.0,7,11.609935
-1650.0,6,11.623525
-2310.0,10,11.640379
-2274.0,10,11.656825
-1620.0,7,11.667232
-1800.0,7,11.677459
-1710.0,7,11.69217
-2040.0,9,11.710147
-2286.0,10,11.727437
-2130.0,8,11.739687
-1740.0,7,11.755642
-2010.0,10,11.773387
-1890.0,8,11.7849
-1800.0,7,11.801405
-1800.0,7,11.812932
-1830.0,7,11.824754
-2190.0,10,11.84224
-1860.0,8,11.859243
-1950.0,8,11.874729
-1776.0,8,11.887103
-2070.0,9,11.903322
-2160.0,12,11.922876
-1920.0,9,11.942746
-1740.0,9,11.960606
-2160.0,11,11.9792
-1860.0,8,11.99609
-1704.0,9,12.01409
-1890.0,8,12.027014
-1950.0,9,12.043689
-1680.0,7,12.05456
-1860.0,6,12.069011
-1830.0,8,12.080672
-2802.0,14,12.106008
-1980.0,8,12.120718
-2010.0,8,12.132181
-1660.0,7,12.145957
-2070.0,9,12.159049
-2640.0,10,12.175405
-2010.0,11,12.196968
-1950.0,9,12.209138
-1980.0,9,12.224686
-2040.0,9,12.241138
-1830.0,6,12.250585
-2010.0,7,12.264837
-1740.0,7,12.27541
-1680.0,7,12.285881
-2376.0,13,12.308758
-1860.0,7,12.320372
-1950.0,9,12.336141
-1620.0,6,12.345484
-1800.0,8,12.360371
-2520.0,12,12.379328
-2070.0,9,12.39516
-1636.0,9,12.411137
-2184.0,9,12.427374
-1980.0,9,12.444574
-1690.0,8,12.455973
-1770.0,8,12.473485
-1704.0,10,12.491807
-1956.0,8,12.503098
-1950.0,8,12.519136
-1650.0,7,12.530508
-1830.0,9,12.546904
-1890.0,10,12.565112
-1770.0,8,12.581496
-1740.0,7,12.592333
-2130.0,10,12.608911
-1830.0,7,12.623403
-1860.0,7,12.634337
-1650.0,7,12.644632
-2370.0,14,12.667935
-1800.0,8,12.682686
-1770.0,7,12.692961
-1522.0,9,12.708979
-2112.0,9,12.724319
-2550.0,10,12.740581
-1830.0,8,12.751699
-1710.0,7,12.767504
-1650.0,7,12.778443
-2220.0,8,12.793294
