Time,CPU Usage (%),Hit_Miss,Squid_Memory_Usage(kb),Request_Rate/(Min),Response_Time(ms),Squid_Disk_Usage(mb),Cache_Disk_Usage(mb),Cache_Memory_Usage(kb)
2:30:42,0.06,MISS,666016,42.8,1744,224,18,1360
2:30:47,0.06,MISS,666016,42.9,1714,224,18,1364
2:30:52,0.06,MISS,666016,42.9,1742,224,18,1368
2:30:57,0.06,MISS,666016,43,1722,224,18,1372
2:31:03,0.06,MISS,666016,43.1,1785,224,18,1376
2:31:08,0.06,MISS,666016,43.1,1692,224,18,1380
2:31:13,0.06,MISS,666016,43.2,1791,224,18,1384
2:31:18,0.06,MISS,666016,43.2,1697,224,18,1388
2:31:24,0.06,MISS,666016,43.3,1777,224,18,1392
2:31:29,0.06,MISS,666016,43.3,1685,224,18,1396
2:31:34,0.06,MISS,666016,43.4,1737,224,18,1400
2:31:39,0.06,MISS,666016,43.4,1771,224,18,1404
2:31:44,0.06,MISS,666016,43.5,1713,224,18,1408
2:31:50,0.06,MISS,666016,43.5,1811,224,18,1412
2:31:55,0.06,MISS,666016,43.6,1749,224,18,1416
2:32:00,0.06,MISS,666016,43.6,1755,224,18,1420
2:32:06,0.06,MISS,666016,43.7,1731,224,18,1424
2:32:11,0.06,MISS,666016,43.8,1735,224,18,1428
2:32:16,0.06,MISS,666016,43.8,1700,224,18,1432
2:32:21,0.06,MISS,666016,43.9,1745,224,18,1436
2:32:26,0.06,MISS,666016,43.9,1724,224,18,1440
2:32:32,0.06,MISS,666016,44,1714,224,18,1444
2:32:37,0.06,MISS,666016,44,1746,224,18,1448
2:32:42,0.06,MISS,666016,44.1,1693,224,18,1452
2:32:47,0.06,MISS,666016,44.1,1765,224,18,1456
2:32:53,0.06,MISS,666016,44.2,1693,224,18,1460
2:32:58,0.06,MISS,666016,44.2,1792,224,18,1464
2:33:03,0.06,MISS,666016,44.3,1703,224,18,1468
2:33:08,0.06,MISS,666016,44.3,1787,225,18,1472
2:33:14,0.06,MISS,667024,44.4,1677,225,18,1476
2:33:19,0.06,MISS,667024,44.4,1766,225,18,1480
2:33:24,0.06,MISS,667024,44.5,1773,225,18,1484
2:33:29,0.06,MISS,667024,44.5,1682,225,18,1488
2:33:35,0.06,MISS,667024,44.6,1723,225,18,1492
2:33:40,0.06,MISS,667024,44.6,1667,225,18,1496
2:33:45,0.06,MISS,667024,44.7,1756,225,18,1500
2:33:50,0.06,MISS,667024,44.7,1715,225,18,1504
2:33:55,0.06,MISS,667024,44.8,1740,225,18,1508
2:34:01,0.06,MISS,667024,44.8,1741,225,18,1512
2:34:06,0.06,MISS,667024,44.9,1700,225,18,1516
2:34:11,0.06,MISS,667024,44.9,1726,225,18,1520
2:34:16,0.06,MISS,667024,45,1703,225,18,1524
2:34:22,0.06,MISS,667024,45,1730,225,18,1528
2:34:27,0.06,MISS,667024,45.1,1652,225,18,1532
2:34:32,0.06,MISS,667024,45.1,1734,225,18,1536
2:34:37,0.06,MISS,667424,45.2,1729,225,18,1540
2:34:42,0.06,MISS,667424,45.2,1688,225,18,1544
2:34:48,0.06,MISS,667424,45.2,1730,225,18,1548
2:34:53,0.06,MISS,667424,45.3,1741,225,18,1552
2:34:58,0.06,MISS,667424,45.3,1759,225,18,1556
2:35:03,0.06,MISS,667424,45.4,1690,225,18,1560
2:35:08,0.06,MISS,667424,45.4,1731,225,18,1564
2:35:14,0.06,MISS,667424,45.5,1722,225,18,1568
2:35:19,0.06,MISS,667424,45.5,1724,225,18,1572
