Time Cache_Disk_Usage/mb Cache_Memory_Usage/kb CPU_Usage Squid_Memory_Usage/kb
14:54:45 30 8104 241 0.07 717584
14:56:04 30 8104 241 0.07 717584
14:57:14 30 8104 241 0.07 717584
14:58:20 30 8104 241 0.07 717584
14:59:19 30 8104 241 0.07 717584
15:00:23 30 8104 241 0.07 717584
15:01:30 30 8104 241 0.07 717584
15:02:25 30 8104 241 0.07 717584
15:03:18 30 8104 241 0.07 717584
15:04:15 30 8104 241 0.07 717584
15:05:12 30 8104 241 0.07 717584
15:06:13 30 8104 241 0.07 717584
15:07:11 30 8104 241 0.07 717584
15:08:06 30 8104 241 0.07 717584
15:09:02 30 8104 241 0.07 717584
15:10:07 30 8104 241 0.07 717584
15:11:04 30 8104 241 0.07 717584
15:11:58 30 8104 241 0.07 717584
15:12:56 30 8104 241 0.07 717584
15:13:52 30 8104 241 0.07 717584
15:14:48 30 8104 241 0.07 717584
15:15:45 30 8104 241 0.07 717584
15:16:41 30 8104 241 0.07 717584
15:17:35 30 8104 241 0.07 717584
15:18:30 30 8104 241 0.07 717584
15:19:26 30 8104 241 0.07 717584
15:20:29 30 8104 241 0.07 717584
15:21:28 30 8104 241 0.07 717584
15:22:27 30 8104 241 0.07 717584
15:23:19 30 8104 241 0.07 717584
15:24:09 30 8104 241 0.07 717584
15:25:06 30 8104 241 0.07 717584
15:26:05 30 8104 241 0.07 717584
15:27:05 30 8104 241 0.07 717584
15:27:59 30 8104 241 0.07 717584
15:28:51 30 8104 241 0.07 717584
15:29:46 30 8108 241 0.07 717584
15:30:50 30 8108 241 0.07 717584
15:31:56 30 8108 241 0.07 717584
15:32:54 30 8108 241 0.07 717584
15:33:50 30 8108 241 0.07 717584
15:34:45 30 8108 241 0.07 717584
15:35:41 30 8108 241 0.07 717584
15:36:37 30 8108 241 0.07 717584
15:37:30 30 8108 241 0.07 717584
15:38:24 30 8108 241 0.07 717584
15:39:40 30 8108 241 0.07 717584
15:40:40 30 8112 241 0.07 717584
15:41:57 30 8104 241 0.07 717584
15:43:05 30 8108 241 0.07 717584
15:44:01 30 8108 241 0.07 717584
15:44:56 30 8108 241 0.07 717584
