File Time Hit_Miss  Response_Time/ns
2020110916:26:57.html 02:05:27 MISS 127833787
2020110916:26:57.html 02:05:28 HIT 128068646
2020110916:27:02.html 02:05:28 MISS 142949382
2020110916:27:02.html 02:05:28 HIT 174100060
2020110916:27:07.html 02:05:28 MISS 186414507
2020110916:27:07.html 02:05:28 HIT 135795483
2020110916:27:12.html 02:05:28 MISS 138055080
2020110916:27:12.html 02:05:29 HIT 139383942
2020110916:27:17.html 02:05:29 MISS 220034216
2020110916:27:17.html 02:05:29 HIT 151565570
2020110916:27:22.html 02:05:29 MISS 120567212
2020110916:27:22.html 02:05:29 HIT 136467408
2020110916:27:27.html 02:05:29 MISS 126326586
2020110916:27:27.html 02:05:29 HIT 141120132
2020110916:27:32.html 02:05:30 MISS 130664695
2020110916:27:32.html 02:05:30 HIT 187011841
2020110916:27:37.html 02:05:30 MISS 152006161
2020110916:27:37.html 02:05:30 HIT 124517555
2020110916:27:42.html 02:05:30 MISS 134163462
2020110916:27:42.html 02:05:30 HIT 129168116
2020110916:27:47.html 02:05:31 MISS 265825362
2020110916:27:47.html 02:05:31 HIT 205577597
2020110916:27:52.html 02:05:31 MISS 138904114
2020110916:27:52.html 02:05:31 HIT 125242747
2020110916:27:57.html 02:05:31 MISS 152369144
2020110916:27:57.html 02:05:31 HIT 114156553
2020110916:28:02.html 02:05:31 MISS 124803688
2020110916:28:02.html 02:05:32 MISS 131178093
2020110916:28:07.html 02:05:32 MISS 161081884
2020110916:28:07.html 02:05:32 HIT 145583626
2020110916:28:12.html 02:05:32 MISS 141644691
2020110916:28:12.html 02:05:32 HIT 141043690
2020110916:28:17.html 02:05:32 MISS 165716809
2020110916:28:17.html 02:05:33 HIT 146759912
2020110916:28:22.html 02:05:33 MISS 193141746
2020110916:28:22.html 02:05:33 HIT 166339959
2020110916:28:27.html 02:05:33 MISS 132958090
2020110916:28:27.html 02:05:33 HIT 138371557
2020110916:28:32.html 02:05:33 MISS 130257476
2020110916:28:32.html 02:05:33 HIT 122364181
2020110916:28:37.html 02:05:34 MISS 136041315
2020110916:28:37.html 02:05:34 MISS 156900328
2020110916:28:42.html 02:05:34 MISS 151328617
2020110916:28:42.html 02:05:34 HIT 122334592
2020110916:28:47.html 02:05:34 MISS 129666106
2020110916:28:47.html 02:05:34 HIT 109175520
2020110916:28:52.html 02:05:34 MISS 143388061
2020110916:28:52.html 02:05:35 HIT 118121724
2020110916:28:57.html 02:05:35 MISS 196541389
2020110916:28:57.html 02:05:35 HIT 134219274
2020110916:29:02.html 02:05:35 MISS 135777075
2020110916:29:02.html 02:05:35 HIT 137029408
2020110916:29:07.html 02:05:35 MISS 153473162
2020110916:29:07.html 02:05:35 HIT 133980992
2020110916:29:12.html 02:05:36 MISS 154358897
2020110916:29:12.html 02:05:36 HIT 183721375
2020110916:29:17.html 02:05:36 MISS 140366003
2020110916:29:17.html 02:05:36 HIT 124066897
2020110916:29:22.html 02:05:36 MISS 136260848
2020110916:29:22.html 02:05:36 HIT 125343145
2020110916:29:27.html 02:05:37 MISS 139448045
2020110916:29:27.html 02:05:37 HIT 131351130
2020110916:29:32.html 02:05:37 MISS 184136029
2020110916:29:32.html 02:05:37 HIT 123607919
2020110916:29:37.html 02:05:37 MISS 130408709
2020110916:29:37.html 02:05:37 HIT 125935975
2020110916:29:42.html 02:05:37 MISS 130175678
2020110916:29:42.html 02:05:38 HIT 128253224
2020110916:29:47.html 02:05:38 MISS 161877430
2020110916:29:47.html 02:05:38 HIT 165039038
2020110916:29:52.html 02:05:38 MISS 161696645
2020110916:29:52.html 02:05:38 HIT 120743000
2020110916:29:57.html 02:05:38 MISS 138805847
2020110916:29:57.html 02:05:38 HIT 119003362
2020110916:30:02.html 02:05:39 MISS 160419336
2020110916:30:02.html 02:05:39 HIT 134982772
2020110916:30:07.html 02:05:39 MISS 173820304
2020110916:30:07.html 02:05:39 HIT 136380403
2020110916:30:12.html 02:05:39 MISS 137859285
2020110916:30:12.html 02:05:39 HIT 129933806
2020110916:30:17.html 02:05:39 MISS 124308456
2020110916:30:17.html 02:05:40 HIT 135562344
2020110916:30:22.html 02:05:40 MISS 173190359
2020110916:30:22.html 02:05:40 HIT 153790789
2020110916:30:27.html 02:05:40 MISS 130538275
2020110916:30:27.html 02:05:40 HIT 126873144
2020110916:30:32.html 02:05:40 MISS 134016074
2020110916:30:32.html 02:05:40 HIT 117245812
2020110916:30:37.html 02:05:41 MISS 141125939
2020110916:30:37.html 02:05:41 HIT 123918276
2020110916:30:42.html 02:05:41 MISS 143080469
2020110916:30:42.html 02:05:41 HIT 157294624
2020110916:30:47.html 02:05:41 MISS 129006114
2020110916:30:47.html 02:05:41 HIT 158234934
2020110916:30:52.html 02:05:41 MISS 142514945
2020110916:30:52.html 02:05:42 HIT 137008989
2020110916:30:57.html 02:05:42 MISS 189844960
2020110916:30:57.html 02:05:42 HIT 138024361
2020110916:31:02.html 02:05:42 MISS 151337680
2020110916:31:02.html 02:05:42 HIT 136153721
2020110916:31:07.html 02:05:42 MISS 132886905
2020110916:31:07.html 02:05:43 HIT 143866663
2020110916:31:12.html 02:05:43 MISS 138334870
2020110916:31:12.html 02:05:43 HIT 208357141
2020110916:31:17.html 02:05:43 MISS 141191884
2020110916:31:17.html 02:05:43 HIT 127359609
2020110916:31:22.html 02:05:43 MISS 183951181
2020110916:31:22.html 02:05:43 HIT 123770797
2020110916:31:27.html 02:05:44 MISS 134981162
2020110916:31:27.html 02:05:44 HIT 171607874
