CPU_Utilization Memory_Consumption Current_Time Disk_Space(mb) Brick_Space(mb) Kafka_Disk_Usage(mb) Topic_Disk_Usage(mb) Heketi_Space(mb)
1.39 1.464 07:21:18 4.9 74 398 7.0 33
1.60 1.464 07:21:22 4.9 74 398 7.0 33
1.49 1.464 07:21:26 4.9 74 398 7.0 33
1.58 1.463 07:21:30 4.9 74 398 7.0 33
1.45 1.464 07:21:34 4.9 74 398 7.1 33
1.50 1.464 07:21:38 4.9 74 398 7.1 33
1.62 1.464 07:21:42 4.9 74 399 7.1 33
1.52 1.464 07:21:46 4.9 74 399 7.1 33
1.53 1.464 07:21:50 4.9 74 399 7.2 33
1.46 1.464 07:21:54 4.9 74 399 7.2 33
1.68 1.464 07:21:58 4.9 74 399 7.2 33
1.66 1.464 07:22:02 4.9 74 399 7.2 33
1.60 1.464 07:22:06 4.9 74 399 7.3 33
1.60 1.464 07:22:10 4.9 74 399 7.3 33
1.41 1.464 07:22:14 4.9 74 399 7.3 33
1.60 1.464 07:22:18 4.9 74 399 7.3 33
1.61 1.464 07:22:22 4.9 74 399 7.4 33
1.38 1.464 07:22:26 4.9 74 399 7.4 33
1.62 1.464 07:22:30 4.9 74 399 7.4 33
1.50 1.464 07:22:34 4.9 74 399 7.4 33
1.48 1.464 07:22:38 4.9 74 399 7.5 33
1.60 1.464 07:22:42 4.9 74 399 7.5 33
1.55 1.464 07:22:46 4.9 74 399 7.5 33
1.60 1.464 07:22:50 4.9 74 399 7.5 33
1.52 1.464 07:22:54 4.9 74 399 7.6 33
1.81 1.464 07:22:58 4.9 74 399 7.6 33
1.65 1.464 07:23:02 4.9 74 399 7.6 33
1.62 1.464 07:23:06 4.9 74 399 7.6 33
1.59 1.464 07:23:10 4.9 74 399 7.6 33
1.80 1.464 07:23:14 4.9 74 399 7.7 33
1.51 1.464 07:23:18 4.9 74 399 7.7 33
1.52 1.464 07:23:22 4.9 74 399 7.7 33
1.70 1.464 07:23:26 4.9 74 399 7.7 33
1.75 1.464 07:23:30 4.9 74 399 7.8 33
1.40 1.464 07:23:34 4.9 74 399 7.8 33
1.60 1.464 07:23:38 4.9 74 399 7.8 33
1.53 1.464 07:23:42 4.9 74 399 7.8 33
1.56 1.463 07:23:46 4.9 82 399 7.9 33
1.77 1.464 07:23:50 4.9 82 399 7.9 33
1.38 1.463 07:23:54 4.9 82 399 7.9 33
1.54 1.463 07:23:58 4.9 82 399 7.9 33
1.80 1.464 07:24:02 4.9 82 399 8.0 33
1.88 1.464 07:24:06 4.9 82 399 8.0 33
1.66 1.463 07:24:10 4.9 82 399 8.0 33
1.63 1.464 07:24:14 4.9 82 399 8.0 33
1.48 1.464 07:24:18 4.9 82 399 8.1 33
1.81 1.463 07:24:22 4.9 82 399 8.1 33
1.41 1.464 07:24:26 4.9 82 400 8.1 33
1.43 1.463 07:24:30 4.9 82 400 8.1 33
1.47 1.464 07:24:34 4.9 82 400 8.2 33
1.65 1.464 07:24:38 4.9 82 400 8.2 33
1.52 1.463 07:24:42 4.9 82 400 8.2 33
1.45 1.464 07:24:46 4.9 82 400 8.2 33
1.46 1.464 07:24:50 4.9 82 400 8.3 33
1.56 1.464 07:24:54 4.9 82 400 8.3 33
1.58 1.464 07:24:58 4.9 82 400 8.3 33
1.76 1.464 07:25:02 4.9 82 400 8.3 33
1.57 1.464 07:25:06 4.9 82 400 8.4 33
1.55 1.464 07:25:10 4.9 82 400 8.4 33
1.33 1.464 07:25:14 4.9 82 400 8.4 33
1.48 1.464 07:25:18 4.9 82 400 8.4 33
1.76 1.464 07:25:22 4.9 82 400 8.5 33
1.49 1.464 07:25:26 4.9 82 400 8.5 33
1.41 1.463 07:25:30 4.9 82 400 8.5 33
1.40 1.463 07:25:34 4.9 82 400 8.5 33
1.54 1.464 07:25:38 4.9 82 400 8.6 33
1.49 1.464 07:25:42 4.9 82 400 8.6 33
1.49 1.464 07:25:46 4.9 82 400 8.6 33
1.47 1.463 07:25:50 4.9 82 400 8.6 33
1.37 1.464 07:25:54 4.9 82 400 8.7 33
1.44 1.464 07:25:58 4.9 82 400 8.7 33
1.54 1.464 07:26:02 4.9 82 400 8.7 33
1.86 1.464 07:26:06 4.9 82 400 8.7 33
1.44 1.464 07:26:10 4.9 82 400 8.8 33
1.29 1.464 07:26:14 4.9 82 400 8.8 33
1.52 1.464 07:26:18 4.9 82 400 8.8 33
1.65 1.464 07:26:22 4.9 82 400 8.8 33
1.44 1.464 07:26:26 4.9 82 400 8.9 33
1.50 1.464 07:26:30 4.9 82 400 8.9 33
1.38 1.464 07:26:34 4.9 82 400 8.9 33
1.49 1.464 07:26:38 4.9 82 400 8.9 33
1.57 1.463 07:26:42 4.9 82 400 9.0 33
1.82 1.464 07:26:46 4.9 82 400 9.0 33
1.45 1.464 07:26:50 4.9 82 400 9.0 33
1.41 1.464 07:26:54 4.9 82 400 9.0 33
1.64 1.464 07:26:58 4.9 82 400 9.1 33
1.48 1.464 07:27:02 4.9 82 400 9.1 33
1.44 1.464 07:27:06 4.9 82 401 9.1 33
1.47 1.464 07:27:10 4.9 82 401 9.1 33
1.49 1.464 07:27:14 4.9 82 401 9.2 33
1.49 1.464 07:27:18 4.9 82 401 9.2 33
1.70 1.463 07:27:22 4.9 82 401 9.2 33
1.48 1.464 07:27:26 4.9 82 401 9.2 33
1.46 1.464 07:27:30 4.9 82 401 9.3 33
1.53 1.464 07:27:34 4.9 82 401 9.3 33
1.68 1.464 07:27:38 4.9 82 401 9.3 33
1.67 1.464 07:27:42 4.9 82 401 9.3 33
1.68 1.464 07:27:46 4.9 82 401 9.4 33
1.49 1.464 07:27:50 4.9 82 401 9.4 33
1.36 1.464 07:27:54 4.9 82 401 9.4 33
1.76 1.463 07:27:58 4.9 82 401 9.4 33
1.65 1.463 07:28:02 4.9 82 401 9.5 33
1.74 1.463 07:28:06 4.9 82 401 9.5 33
1.66 1.464 07:28:10 4.9 82 401 9.5 33
1.83 1.464 07:28:14 4.9 82 401 9.5 33
1.52 1.464 07:28:18 4.9 82 401 9.6 33
1.56 1.464 07:28:22 4.9 82 401 9.6 33
1.53 1.464 07:28:26 4.9 82 401 9.6 33
1.58 1.464 07:28:30 4.9 82 401 9.6 33
1.50 1.464 07:28:34 4.9 82 401 9.7 33
1.59 1.464 07:28:38 4.9 82 401 9.7 33
1.48 1.464 07:28:42 4.9 82 401 9.7 33
1.82 1.463 07:28:46 4.9 82 401 9.7 33
1.67 1.464 07:28:50 4.9 82 401 9.8 33
1.56 1.464 07:28:54 4.9 82 401 9.8 33
1.71 1.464 07:28:58 4.9 82 401 9.8 33
1.64 1.464 07:29:02 4.9 82 401 9.8 33
1.96 1.464 07:29:06 4.9 82 401 9.8 33
1.64 1.464 07:29:10 4.9 82 401 9.9 33
1.59 1.464 07:29:14 4.9 82 401 9.9 33
1.43 1.464 07:29:18 4.9 82 401 9.9 33
1.45 1.464 07:29:22 4.9 82 401 9.9 33
1.44 1.464 07:29:26 4.9 82 401 10 33
1.54 1.464 07:29:30 4.9 82 401 10 33
1.44 1.464 07:29:34 4.9 82 401 10 33
1.38 1.464 07:29:38 4.9 82 401 10 33
1.50 1.464 07:29:42 4.9 82 401 11 33
1.48 1.464 07:29:46 4.9 82 402 11 33
1.79 1.464 07:29:50 4.9 82 402 11 33
1.44 1.464 07:29:54 4.9 82 402 11 33
1.83 1.464 07:29:58 4.9 82 402 11 33
1.81 1.464 07:30:02 4.9 82 402 11 33
1.62 1.464 07:30:06 4.9 82 402 11 33
1.67 1.464 07:30:10 4.9 82 402 11 33
1.58 1.464 07:30:14 4.9 82 402 11 33
1.65 1.464 07:30:18 4.9 82 402 11 33
1.56 1.464 07:30:22 4.9 82 402 11 33
1.76 1.464 07:30:26 4.9 82 402 11 33
1.63 1.464 07:30:30 4.9 82 402 11 33
1.41 1.464 07:30:34 4.9 82 402 11 33
1.49 1.464 07:30:38 4.9 82 402 11 33
1.83 1.464 07:30:42 4.9 82 402 11 33
1.80 1.464 07:30:46 4.9 82 402 11 33
1.71 1.464 07:30:50 4.9 82 402 11 33
1.50 1.464 07:30:54 4.9 82 402 11 33
1.47 1.464 07:30:58 4.9 82 402 11 33
1.70 1.464 07:31:02 4.9 82 402 11 33
1.72 1.464 07:31:06 4.9 82 402 11 33
1.55 1.464 07:31:10 4.9 82 402 11 33
1.53 1.464 07:31:14 4.9 82 402 11 33
1.56 1.464 07:31:18 4.9 82 402 11 33
1.51 1.464 07:31:22 4.9 82 402 11 33
1.75 1.464 07:31:26 4.9 82 402 11 33
1.55 1.464 07:31:30 4.9 82 402 11 33
1.41 1.464 07:31:34 4.9 82 402 11 33
1.48 1.464 07:31:38 4.9 82 402 11 33
1.59 1.464 07:31:42 4.9 82 402 11 33
1.77 1.464 07:31:46 4.9 82 402 11 33
1.51 1.464 07:31:50 4.9 82 402 11 33
1.27 1.464 07:31:54 4.9 82 402 11 33
1.39 1.464 07:31:58 4.9 82 402 11 33
1.67 1.464 07:32:02 4.9 82 402 11 33
2.03 1.464 07:32:06 4.9 82 402 11 33
1.53 1.464 07:32:10 4.9 82 402 11 33
1.46 1.464 07:32:14 4.9 82 402 11 33
1.73 1.464 07:32:18 4.9 82 402 11 33
1.46 1.464 07:32:22 4.9 82 402 12 33
1.51 1.464 07:32:26 4.9 82 402 12 33
1.52 1.464 07:32:30 4.9 82 403 12 33
1.40 1.464 07:32:34 4.9 82 403 12 33
1.59 1.464 07:32:38 4.9 82 403 12 33
1.66 1.464 07:32:42 4.9 82 403 12 33
1.58 1.464 07:32:46 4.9 82 403 12 33
1.96 1.464 07:32:50 4.9 82 403 12 33
1.39 1.464 07:32:54 4.9 82 403 12 33
1.56 1.464 07:32:58 4.9 82 403 12 33
1.68 1.464 07:33:02 4.9 82 403 12 33
1.62 1.464 07:33:06 4.9 82 403 12 33
1.46 1.464 07:33:10 4.9 82 403 12 33
1.31 1.464 07:33:14 4.9 82 403 12 33
1.62 1.464 07:33:18 4.9 82 403 12 33
1.53 1.464 07:33:22 4.9 82 403 12 33
1.34 1.464 07:33:26 4.9 82 403 12 33
1.55 1.464 07:33:30 4.9 82 403 12 33
1.54 1.464 07:33:34 4.9 82 403 12 33
1.56 1.464 07:33:38 4.9 82 403 12 33
1.67 1.464 07:33:42 4.9 82 403 12 33
1.53 1.464 07:33:46 4.9 82 403 12 33
1.75 1.463 07:33:50 4.9 82 403 12 33
1.51 1.464 07:33:54 4.9 82 403 12 33
1.67 1.464 07:33:58 4.9 82 403 12 33
1.65 1.464 07:34:02 4.9 82 403 12 33
1.59 1.463 07:34:06 4.9 82 403 12 33
1.60 1.463 07:34:10 4.9 82 403 12 33
1.29 1.463 07:34:14 4.9 82 403 12 33
1.82 1.464 07:34:18 4.9 82 403 12 33
1.45 1.464 07:34:22 4.9 82 403 12 33
1.43 1.464 07:34:26 4.9 82 403 12 33
1.75 1.464 07:34:30 4.9 82 403 12 33
1.45 1.464 07:34:34 4.9 82 403 12 33
1.58 1.464 07:34:38 4.9 82 403 12 33
1.65 1.463 07:34:42 4.9 82 403 12 33
1.54 1.464 07:34:46 4.9 82 403 12 33
1.40 1.464 07:34:50 4.9 82 403 12 33
1.41 1.464 07:34:54 4.9 82 403 12 33
1.50 1.464 07:34:58 4.9 82 403 12 33
1.53 1.464 07:35:02 4.9 82 403 12 33
1.66 1.464 07:35:06 4.9 82 403 13 33
1.56 1.464 07:35:10 4.9 82 403 13 33
1.42 1.464 07:35:14 4.9 82 404 13 33
1.57 1.464 07:35:18 4.9 82 404 13 33
1.58 1.464 07:35:22 4.9 82 404 13 33
1.46 1.464 07:35:26 4.9 82 404 13 33
1.56 1.464 07:35:30 4.9 82 404 13 33
1.51 1.464 07:35:34 4.9 82 404 13 33
1.49 1.464 07:35:38 4.9 82 404 13 33
1.45 1.464 07:35:42 4.9 82 404 13 33
